;;;;;;;;;;;;;;;
;EZY CHEF PTY LTD;;;;;;;;;;;;;;
;1/140, Northcorp Blvd;;;;;;;;;;;;;;
;Broadmeadows;;;;;;;;;;;;;;
;VIC - 3047;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Analyse Sales [Item Multi-Period] - COST OF SALES;;;;;;;;;;;;;;
;July 2017 To June 2018;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Item No.;Item Name;July;August;September;October;November;December;January;February;March;April;May;June;Total
;;;;;;;;;;;;;;;
;EzyAsep-Carrot200;200kg Aseptic Carrot Puree;$798.97;$0.00;$0.00;$0.00;$798.97;$0.00;$798.97;$0.00;$0.00;$6,490.67;$1,211.40;$1,597.93;$11,696.91
;EzyAsep-Celery200;200kg Aseptic Celery Puree;$0.00;$2,174.07;$0.00;$0.00;$3,478.50;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$5,652.57
;EzyAsep-Cucumber15A;15kg Aseptic Cucumber Aci;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$165.37;$0.00;$0.00;$0.00;$165.37
;EzyAsep-Cucumber200A;200kg Aseptic Cucumber Pur;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$4,715.19;$0.00;$0.00;$0.00;$4,715.19
;EzyAsep-JuiceBeetroot200;200kg Aseptic Juice Beetroot;$0.00;$0.00;$0.00;$0.00;$0.00;$1,996.16;$0.00;$3,583.74;$11,917.17;$0.00;$0.00;$0.00;$17,497.07
;EzyAsep-JuiceCarrot1000;1000kg Aseptic Juice Carrot;$0.00;$0.00;$0.00;$0.00;$2,382.42;$1,683.16;$1,430.71;$2,418.12;$2,865.51;$0.00;$0.00;$0.00;$10,779.92
;EzyAsep-JuiceCarrot15;15kg Aseptic Juice Carrot;$0.00;$0.00;$0.00;$87.62;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$87.62
;EzyAsep-JuiceCarrot200;200kg Aseptic Juice Carrot;$0.00;$0.00;$0.00;$1,158.55;$4,722.57;$3,316.01;$4,244.62;$549.84;$2,372.93;$0.00;$0.00;$0.00;$16,364.52
;EzyAsep-KaleA200;200kg Aseptic Kale A 1.6mmPure;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$3,432.89;$1,716.44;$10,298.67;$0.00;$15,448.00
;EzyAsep-ORGApple200;200kg Aseptic ORGANIC Apple Pu;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$556.33;$0.00;$0.00;$0.00;$556.33
;EzyAsep-ORGBeetroot15;15kg Aseptic ORGANIC Beetroot;$0.00;$0.00;$0.00;$0.00;$0.00;$1,057.09;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$1,057.09
;EzyAsep-ORGCarrot200;200kg Aseptic ORGANIC Carrot;$0.00;$0.00;$0.00;$0.00;$0.00;$3,515.34;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$3,515.34
;EzyAsep-ORGJuiceCarrot200;200kg Drum ORG Juice Carrot A;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$1,068.75;$0.00;$0.00;$0.00;$1,068.75
;EzyAsep-ORGJuicePear200;200kg Drum ORGANIC Juice Pear;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$1,080.26;$1,080.26
;EzyAsep-ORGPear200;200kg Aseptic ORGANIC Pear Pur;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$953.72;$0.00;$0.00;$0.00;$953.72
;EzyAsep-ORGPumpkin200;200kg Aseptic ORGANIC Pumpkin;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$3,610.96;$0.00;$0.00;$3,610.96
;EzyAsep-ORGSweetPotato200;200kg Aseptic ORGANIC Sweet Po;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$1,445.55;$0.00;$1,445.55
;EzyAsep-Parsnip2;Box 6x2kg Aseptic Parsnip Pure;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$2.77;$0.00;$2.77
;EzyAsep-Parsnip200;200kg Aseptic Parsnip Puree;$7,949.46;$8,257.41;$0.00;$7,116.25;$6,392.40;$0.00;$0.00;$7,302.54;$0.00;$789.78;$3,948.89;$4,738.66;$46,495.39
;EzyAsep-Pear200;200kg Aseptic Pear Puree Refr;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$1,310.32;$2,154.20;$0.00;$1,200.23;$4,664.75
;EzyAsep-Plum200;200kg Aseptic Plum Puree;$0.00;$4,311.29;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$5,632.57;$0.00;$0.00;$0.00;$9,943.86
;EzyAsep-Pumpkin15;15kg Aseptic B Pumpkin Puree;$2,528.24;$2,012.26;$2,706.46;$2,890.68;$5,612.29;$1,178.27;$1,969.50;$2,222.88;$3,428.51;$2,601.34;$3,781.46;$4,385.89;$35,317.78
;EzyAsep-Pumpkin2;Box 6x2kg Aseptic B Pumpkin Pu;$41.94;$60.62;$45.47;$15.16;$0.00;$0.00;$157.85;$0.00;$0.00;$74.99;$84.65;$0.00;$480.68
;EzyAsep-Pumpkin200;200kg Aseptic B Pumpkin Puree;$32,593.71;$20,217.47;$15,139.64;$13,622.29;$11,153.00;$7,474.43;$9,409.10;$16,489.65;$13,334.00;$17,321.38;$39,610.27;$34,907.98;$231,272.92
;EzyAsep-SpinachA200;200kg Aseptic Spinach A Puree;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$10,056.14;$0.00;$0.00;$0.00;$10,056.14
;EzyAsep-Strawberry15;15kg Aseptic Strawberry Puree;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$225.98;$0.00;$0.00;$0.00;$225.98
;EzyAsep-Strawberry2;Box 6x2kg Aseptic Strawberry P;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$3.58;$0.00;$0.00;$0.00;$3.58
;EzyAsep-SweetPotato15;15kg Aseptic Sweet Potato Pure;$0.00;$1,391.71;$0.00;$210.07;$52.52;$0.00;$52.52;$1,375.85;$354.66;$3,076.37;$2,739.12;$1,920.06;$11,172.88
;EzyAsep-SweetPotato2;Box 6x2kg Aseptic Sweet Potato;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$4.93;$0.00;$4.93
;EzyAsep-SweetPotato200;200kg Aseptic Sweet Potato Mas;$1,985.49;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$1,985.49
;EzyAsep-SwtPotBlend15;15kg Aseptic Sweet Pot Blend;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$551.42;$1,652.89;$0.00;$0.00;$2,204.31
;EzyAsep-ZucchiniPulp200;200kg Aseptic Zucchini Pulp1.6;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$375.80;$0.00;$0.00;$375.80
;Ezy-NBBeetroot;Box 6x300g NB Beetroot Frozen;$0.00;$67.02;$22.34;$0.00;$0.00;$20.10;$6.38;$9.76;$45.36;$20.62;$18.18;$31.29;$241.05
;Ezy-NBBroccoli;Box 6x300g NB Broccoli Frozen;$0.00;$109.29;$29.14;$0.00;$0.00;$65.56;$19.45;$66.47;$43.71;$77.16;$80.17;$111.81;$602.76
;Ezy-NBCapsicum;Box 6x300g NB Capsicum Frozen;$0.00;$120.75;$40.25;$0.00;$0.00;$0.00;$32.23;$47.90;$40.25;$16.10;$88.55;$0.00;$386.03
;Ezy-NBCarrot;Box 6x300g NB Carrot Frozen;$0.00;$57.26;$19.08;$0.00;$0.00;$34.34;$7.73;$11.48;$45.43;$21.96;$30.75;$18.67;$246.70
;Ezy-NBCauliflower;Box 6x300g NB Cauliflower Froz;$0.00;$95.22;$31.76;$0.00;$0.00;$40.83;$34.09;$44.01;$77.14;$18.15;$63.52;$91.66;$496.38
;Ezy-NBGreenPea;Box 6x300g NB Green Pea Frozen;$0.00;$274.40;$91.46;$0.00;$205.79;$0.00;$33.01;$63.87;$140.98;$77.69;$57.73;$149.97;$1,094.90
;Ezy-NBParsnip;Box 6x300g NB Parsnip Frozen;$0.00;$0.59;$0.12;$0.00;$0.00;$0.16;$2.25;$2.98;$0.42;$0.08;$0.32;$0.12;$7.04
;Ezy-NBPumpkin;Box 6x300g NB Pumpkin Frozen;$0.00;$39.49;$15.80;$0.00;$23.70;$18.43;$6.38;$22.81;$47.40;$29.03;$33.77;$35.82;$272.63
;Ezy-NBStarter;Box 8x600g NB Starter Pack Fro;$0.00;$317.44;$103.68;$0.00;$466.54;$106.28;$934.14;$2.09;$674.54;$664.40;$404.50;$1,068.67;$4,742.28
;Ezy-NBSweetPotato;Box 6x300g NB Sweet Potato Fro;$0.00;$71.96;$19.29;$0.00;$43.39;$12.05;$11.17;$15.15;$63.81;$45.41;$47.34;$63.13;$392.70
;Ezy-NBZucchini;Box 6x300g NB Zucchini Frozen;$0.00;$65.51;$21.83;$0.00;$0.00;$21.83;$26.55;$25.96;$48.03;$30.36;$69.86;$42.70;$352.63
;EzyNourish-Fruits15;Box 15kg Nourishing Fruits;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$365.47;$0.00;$0.00;$0.00;$0.00;$365.47
;EzyNourish-Fruits200;200kg Drum Nourishing Fruits;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$327.50;$0.00;$0.00;$0.00;$0.00;$327.50
;EzyNourish-Greens15;Box 15kg Nourishing Greens Fro;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$588.72;$0.00;$0.00;$0.00;$0.00;$588.72
;EzyNourish-Greens200;200kg Drum Nourishing Greens;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$414.86;$0.00;$0.00;$0.00;$0.00;$414.86
;EzyNourish-Reds15;Box 15kg Nourishing Reds Froze;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$273.21;$0.00;$0.00;$0.00;$0.00;$273.21
;EzyNourish-Reds200;200kg Drum Nourishing Reds;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$238.76;$0.00;$0.00;$0.00;$0.00;$238.76
;;Total:;$87,204.22;$86,752.66;$42,094.32;$75,263.26;$136,199.13;$86,342.54;$89,197.56;$121,421.99;$183,789.66;$163,977.86;$180,082.58;$100,531.56;$1,352,857.34
