;;;;;;;;;;;;;;;
;EZY CHEF PTY LTD;;;;;;;;;;;;;;
;1/140, Northcorp Blvd;;;;;;;;;;;;;;
;Broadmeadows;;;;;;;;;;;;;;
;VIC - 3047;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Analyse Sales [Item Multi-Period] - COST OF SALES;;;;;;;;;;;;;;
;July 2018 To June 2019;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Item No.;Item Name;July;August;September;October;November;December;January;February;March;April;May;June;Total
;;;;;;;;;;;;;;;
;CPFBF-Boysenberry200g;Box 12 x 200g Fresh Berry Farm;$0.90;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.90
;CPFBF-Raspberry200g;Box 12 x 200g Fresh Berry Farm;$3.28;$5.63;$2.44;$3.75;$6.31;$5.52;$2.79;$4.40;$4.69;$3.11;$5.00;$5.37;$52.29
;CPFBF-SummerBerries200g;Box 12 x 200g Fresh Berry Farm;$3.67;$4.82;$3.32;$4.83;$6.31;$3.83;$3.44;$5.29;$2.94;$4.18;$4.56;$5.42;$52.61
;CPLPG-BNutColesC&W;Crate 14kg Cut & S Wrap Butter;$11,342.42;$14,613.27;$20,031.99;$23,568.65;$14,823.36;$14,278.59;$6,463.75;$0.00;$0.00;$0.00;$0.00;$0.00;$105,122.03
;CPLPG-BNutConv;Crate 14kg C&Wrap Butternut;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$8,471.60;$19,398.84;$11,406.58;$0.00;$0.00;$3,686.50;$42,963.52
;CPLPG-BNutCrescent;Crate 6 x 500g Butternut Cresc;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$3,121.10;$10,323.48;$13,444.58
;CPLPG-KentColesC&W;Crate 14kg Cut & S Wrap Kent;$12,497.34;$21,235.50;$22,081.46;$20,760.81;$17,760.57;$17,994.97;$17,540.46;$1,107.59;$0.00;$0.00;$0.00;$0.00;$130,978.70
;CPLPG-KentConv;Crate 14kg C&W Kent;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$19,058.50;$10,450.56;$0.00;$0.00;$8,976.21;$38,485.27
;CPLPG-KentCrescent;Crate 6 x 500g Kent Crescent;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$1,032.10;$7,579.17;$8,611.27
;CPLPG-Rework;Rework of LPG stock ...;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$68.43;$68.43
;CPLPG-WarragoldC&W;Crate 14kg Cut & Wrap Warragol;$0.00;$0.00;$0.00;$0.00;$1,701.33;$11,377.93;$3,933.58;$0.00;$0.00;$0.00;$0.00;$0.00;$17,012.84
;CPLPG-WarragoldConv;Crate 14kg C&Wrap Warragold;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$5,404.67;$3,680.75;$0.00;$0.00;$0.00;$8,813.12;$17,898.54
;CPPowd-Prune;Cana Corp FD Prune Powder;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$5,220.00;$0.00;$0.00;$5,220.00
