;;;;;;;;;;;;;;;
;EZY CHEF PTY LTD;;;;;;;;;;;;;;
;1/140, Northcorp Blvd;;;;;;;;;;;;;;
;Broadmeadows;;;;;;;;;;;;;;
;VIC - 3047;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Analyse Sales [Item Multi-Period];;;;;;;;;;;;;;
;July 2018 To June 2019;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Item No.;Item Name;July;August;September;October;November;December;January;February;March;April;May;June;Total
;;;;;;;;;;;;;;;
;Adjustment / Rebate;Adjustment Note or Rebate;($794.73);($3,722.24);($48.60);($306.00);($345.72);($3,480.94);($4.00);($4,992.92);($668.73);($887.90);($1,238.22);$40.60;($16,449.40)
;CPFBF-Boysenberry200g;Box 12 x 200g Fresh Berry Farm;$959.04;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$959.04
;CPFBF-Raspberry200g;Box 12 x 200g Fresh Berry Farm;$3,166.56;$5,931.60;$3,168.00;$4,884.00;$8,236.80;$7,154.40;$3,643.20;$5,709.00;$4,656.96;$3,104.64;$4,959.36;$5,322.24;$59,936.76
;CPFBF-SummerBerries200g;Box 12 x 200g Fresh Berry Farm;$3,421.44;$5,205.84;$4,276.80;$6,256.80;$8,144.40;$4,936.80;$4,435.20;$6,549.12;$2,887.92;$4,112.64;$4,475.52;$5,322.24;$60,024.72
;CPLPG-BNutColesC&W;Crate 14kg Cut & S Wrap Butter;$18,329.92;$30,256.18;$38,921.02;$38,920.70;$27,166.52;$24,680.80;$10,400.20;$0.00;$0.00;$0.00;$0.00;$0.00;$188,675.34
;CPLPG-BNutConv;Crate 14kg C&Wrap Butternut;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$11,987.00;$25,450.40;$15,794.65;$0.00;$0.00;$5,159.42;$58,391.47
;CPLPG-BNutCrescent;Crate 6 x 500g Butternut Cresc;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$4,082.85;$17,901.02;$21,983.87
;CPLPG-KentColesC&W;Crate 14kg Cut & S Wrap Kent;$20,872.00;$42,703.48;$39,987.87;$33,666.66;$31,312.53;$31,616.19;$28,852.40;$1,918.08;$0.00;$0.00;$0.00;$0.00;$230,929.21
;CPLPG-KentConv;Crate 14kg C&W Kent;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$29,725.24;$14,790.40;$0.00;$0.00;$12,786.78;$57,302.42
;CPLPG-KentCrescent;Crate 6 x 500g Kent Crescent;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$1,497.93;$15,898.32;$17,396.25
;CPLPG-Rework;Rework of LPG stock ...;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$408.96;$408.96
;CPLPG-WarragoldC&W;Crate 14kg Cut & Wrap Warragol;$0.00;$0.00;$0.00;$0.00;$2,944.68;$17,494.68;$6,755.50;$0.00;$0.00;$0.00;$0.00;$0.00;$27,194.86
