;;;;;;;;;;;;;
;EZY CHEF PTY LTD;;;;;;;;;;;;
;1/140, Northcorp Blvd;;;;;;;;;;;;
;Broadmeadows;;;;;;;;;;;;
;VIC - 3047;;;;;;;;;;;;
;;;;;;;;;;;;;
;Analyse Sales [Item Multi-Period];;;;;;;;;;;;
;July 2019 To April 2020;;;;;;;;;;;;
;;;;;;;;;;;;;
;Item No.;Item Name;July;August;September;October;November;December;January;February;March;April;Total
;;;;;;;;;;;;;
;Ezy-BB-ORGPump+Brocc;BB 6x(2x160g) ORG Pump + Brocc;$172.96;$63.54;$169.44;$127.08;$105.90;$169.44;$275.34;$127.08;$261.15;$21.18;$1,493.11
;Ezy-BB-ORGSwtP + Carr;BB 6x(2x160g ORG SwtPot + Carr;$141.89;$39.60;$99.00;$138.60;$118.80;$158.40;$178.20;$79.20;$164.93;$19.80;$1,138.42
;Ezy-BB-ORGwinter lamb stew;BB 12 x 180g ORG Winter Lambst;$163.34;$97.20;$48.60;$97.20;$113.40;$113.40;$162.00;$64.80;$233.44;$81.00;$1,174.38
;Ezy-Freight;Freight charge if Inv < $300;$0.00;$30.00;$60.00;$60.00;$30.00;$30.00;$0.00;$30.00;$50.00;$50.00;$340.00
;Ezy-NBAppleMango;Box 6 x 300g Apple Mango Froze;$80.40;$0.00;$16.08;$259.95;$32.16;$16.08;$32.16;$0.00;$16.08;$0.00;$452.91
;Ezy-NBBeetroot;Box 6x300g NB Beetroot Frozen;$196.02;$0.00;$0.00;$68.96;$130.68;$21.78;$108.90;$0.00;$0.00;$0.00;$526.34
;Ezy-NBBroccoli;Box 6x300g NB Broccoli Frozen;$21.78;$21.78;$21.78;$239.58;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$304.92
;Ezy-NBCarrot;Box 6x300g NB Carrot Frozen;$199.98;$18.18;$0.00;$218.16;$54.54;$0.00;$236.34;$0.00;$0.00;$0.00;$727.20
;Ezy-NBCauliflower;Box 6x300g NB Cauliflower Froz;$67.14;$0.00;$0.00;$134.28;$134.28;$0.00;$223.80;$0.00;$67.14;$0.00;$626.64
;Ezy-NBPearPlum;Box 6 x 300g Pear Plum Frozen;$160.80;$0.00;$0.00;$99.15;$128.64;$32.16;$241.20;$0.00;$16.08;$0.00;$678.03
;Ezy-NBPumpkin;Box 6x300g NB Pumpkin Frozen;$199.98;$18.18;$18.18;$275.72;$72.72;$18.18;$236.34;$0.00;$0.00;$0.00;$839.30
;Ezy-NBStarter;Box 8x600g NB Starter Pack Fro;$1,399.68;$58.32;$58.32;$1,939.14;$1,924.56;$5,132.16;$1,866.24;$0.00;$4,957.20;$0.00;$17,335.62
;Ezy-NBSweetPotato;Box 6x300g NB Sweet Potato Fro;$312.00;$0.00;$0.00;$363.98;$96.00;$24.00;$48.00;$0.00;$0.00;$0.00;$843.98
;EzyProcessing;Processing Cost;$14,527.80;$69,690.38;$31,894.00;$8,500.00;$3,220.45;$1,097.73;$200.00;$754.55;$0.00;$0.00;$129,884.91
;EzySAMPLE-Exp;Export;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$390.00;$0.00;$0.00;$390.00
;EzySamples;Samples;$0.00;$3,327.50;$0.00;$106.50;$0.00;$270.00;$45.00;$997.50;$0.00;$1,111.50;$5,858.00
;Ezy-TNCFruit;Box 6 x 400g Inners Pear, Plum;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$34,758.00;$11,520.00;$46,278.00
;Ezy-TNCVeg1;Box 6 x 400g Inners Beet, Zucc;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$37,638.00;$11,520.00;$49,158.00
;;Total:;$376,343.64;$378,003.86;$269,183.66;$279,456.11;$235,741.56;$363,081.73;$265,414.29;$225,383.41;$407,336.83;$124,300.04;$2,924,245.13
